award,extra,name,link
The 2021 Visualization Lifetime Achievement Award,Presented To:,Jarke J. van Wijk,https://ieeevis.b-cdn.net/vis_2021/pdfs/vgtc-lifetime.pdf
The 2021 Visualization Technical Achievement Award,Presented To:,Daniel Weiskopf,https://ieeevis.b-cdn.net/vis_2021/pdfs/vgtc-techachievement.pdf
The 2021 Visualization Significant New Researcher Award,Presented To:,Michelle Borkin,https://ieeevis.b-cdn.net/vis_2021/pdfs/vgtc-newresearcher.pdf
The 2021 Visualization Significant New Researcher Award,Presented To:,Benjamin Bach,https://ieeevis.b-cdn.net/vis_2021/pdfs/vgtc-newresearcher.pdf
The 2021 Visualization Dissertation Award,Presented To:,Arjun Srinivasan,https://ieeevis.b-cdn.net/vis_2021/pdfs/vgtc-dissertation.pdf
The 2021 Visualization Service Award,Presented To:,Loretta Auvil,https://ieeevis.b-cdn.net/vis_2021/pdfs/vgtc-service.pdf
