Award,award_1,award_2,extra_1,extra_2,paper,authors,DOI
IEEE VAST Test of Time Award 2021,10 Year,Test of Time Award,Presented for the,"IEEE VAST 2011 Paper",SensePlace2: GeoTwitter analytics support for situational awareness,"Alan M. MacEachren, Anuj Jaiswal, Anthony C. Robinson, Scott Pezanowski, Alexander Savelyev, Prasenjit Mitra, Xiao Zhang, Justine Blanford",https://doi.org/10.1109/VAST.2011.6102456
IEEE InfoVis Test of Time Award 2021 (1 of 2),20 Year,Test of Time Award,Presented for the,IEEE INFOVIS 2001 and ACM TOG 2002 Papers,"Ordered Treemap Layouts","Benjamin B. Bederson, Ben Shneiderman, Martin Wattenberg",https://doi.org/10.1109/INFVIS.2001.963283
IEEE InfoVis Test of Time Award 2021 (2 of 2),10 Year,Test of Time Award,Presented for the,IEEE INFOVIS 2011 Paper,D³: Data-Driven Documents,"Michael Bostock, Vadim Ogievetsky, Jeffrey Heer",https://doi.org/10.1109/TVCG.2011.185
IEEE SciVis Test of Time Award 2021 (1 of 2),25 Year,Test of Time Award,Presented for the,IEEE VIS 1996 Paper,The Design and Implementation of an Object-Oriented Toolkit for 3D Graphics and Visualization,"William J. Schroeder, Kenneth M. Martin, William E. Lorensen",https://doi.org/10.1109/VISUAL.1996.567752
IEEE SciVis Test of Time Award 2021 (2 of 2),15 Year,Test of Time Award,Presented for the,IEEE VIS 2006 Paper,Ambient Occlusion and Edge Cueing for Enhancing Real Time Molecular Visualization,"Marco Tarini, Paolo Cignoni, Claudio Montani",https://doi.org/10.1109/TVCG.2006.115
