award,extra,name
IEEE Visualization Academy,INDUCTEE,Baoquan Chen 
IEEE Visualization Academy,INDUCTEE,Issei Fujishiro 
IEEE Visualization Academy,INDUCTEE,Klaus Mueller 
IEEE Visualization Academy,INDUCTEE,Daniel Weiskopf
